,KIC,Right Ascension,Declination,Magnitude in Kepler Band,RMSE,Average Epsilon,Epsilon/P_MAX,slope,slope/P_MAX,standard dev,standard dev/P_MAX,R2_LSP,Composite Function
43,2581626,292.70682,37.806011,14.998,0.073070843,0.003293414,0.059741542,4.55E-06,8.25E-05,0.000101864,0.001847782,0.999990676,f(t) = 1.004100 + 0.071900 * sin(2?? * 18.139700 * t + -2.440400) + 0.015700 * sin(2?? * 23.498500 * t + -0.000015) + 0.007800 * sin(2?? * 5.358700 * t + -1.669385)
57,5286485,295.00616,40.404041,14.824,0.096256705,0.001324139,0.013361622,5.91E-06,5.96E-05,0.0003111,0.003139248,0.999979539,f(t) = 1.000100 + 0.005700 * sin(2?? * 10.090800 * t + 0.000015) + 0.004900 * sin(2?? * 7.679000 * t + -0.000015)
92,8648251,299.10468,44.773991,14.604,0.099382554,-0.003555655,-0.053755459,1.70E-05,0.000257007,0.000185167,0.00279941,0.999977095,f(t) = 1.000000 + 0.006300 * sin(2?? * 15.118300 * t + 2.198200) + 0.006200 * sin(2?? * 19.510000 * t + 0.000015)
68,6955650,293.93597,42.488461,14.24,0.099719248,0.010369786,0.039329487,8.90E-06,3.38E-05,0.000429705,0.001629742,0.99999147,f(t) = 0.997100 + 0.060700 * sin(2?? * 3.792700 * t + 1.724500) + 0.007900 * sin(2?? * 1.896000 * t + 2.461785)
75,7668283,286.07773,43.302872,14.565,0.100584521,0.008727104,0.032474427,1.27E-05,4.71E-05,0.000712627,0.002651756,0.999991025,f(t) = 1.001100 + 0.017600 * sin(2?? * 3.721100 * t + 1.440885) + 0.003600 * sin(2?? * 1.859900 * t + -0.000015) + 0.002000 * sin(2?? * 5.582300 * t + -0.524600)
98,9137819,283.36523,45.533569,14.991,0.106140629,-0.016747172,-0.061220962,-6.73E-06,-2.46E-05,0.000853229,0.003119064,0.999985773,f(t) = 1.009900 + 0.197000 * sin(2?? * 3.655600 * t + 1.964400) + 0.036000 * sin(2?? * 7.311700 * t + -0.000015)
97,9077483,286.55652,45.47319,15.362,0.109473034,-0.001449871,-0.007776963,-1.50E-06,-8.05E-06,0.000630648,0.003382733,0.999995665,f(t) = 0.983400 + 0.144100 * sin(2?? * 5.363900 * t + -1.698985) + 0.020700 * sin(2?? * 2.667800 * t + -1.307985) + 0.015500 * sin(2?? * 10.727900 * t + -2.059600)
99,9202969,284.02448,45.665798,14.515,0.112484607,-0.002084796,-0.010369567,4.46E-05,0.000222055,0.000408094,0.002029819,0.999993101,f(t) = 0.999800 + 0.047200 * sin(2?? * 4.973900 * t + 0.000015)
66,6778487,292.15759,42.291168,14.85,0.120020277,0.006468833,0.032819624,4.95E-06,2.51E-05,0.000806745,0.004093021,0.999984919,f(t) = 0.994100 + 0.092700 * sin(2?? * 5.073500 * t + 0.453085)
67,6836820,281.43738,42.32869,14.46,0.12123833,-0.001528521,-0.00685022,7.88E-07,3.53E-06,0.000494041,0.002214094,0.9999898,f(t) = 0.973400 + 0.160200 * sin(2?? * 4.481600 * t + -2.593385) + 0.022500 * sin(2?? * 8.963500 * t + 0.501785)
