,KIC,Right Ascension,Declination,Magnitude in Kepler Band,RMSE,Average Epsilon,Epsilon/P_MAX,slope,slope/P_MAX,standard dev,standard dev/P_MAX,R2_LSP,Composite Function
1,6231538,298.64798,41.51173,13.737,0.667530815,-0.00802289,-0.098465731,-0.000197396,-0.002422661,0.000450411,0.005527939,0.99987084,f(t) = 1.000000 + 0.000800 * sin(2?? * 12.273100 * t + -0.878100) + 0.000100 * sin(2?? * 14.722700 * t + 0.333700)
2,6606229,291.85559,42.00861,11.136,0.568933249,0.004502331,0.028850487,3.68E-05,0.000235598,0.041851536,0.268180459,0.999390775,f(t) = 1.000000 + 0.002100 * sin(2?? * 6.407900 * t + 1.655900) + 0.001300 * sin(2?? * 7.809200 * t + 0.456200) + 0.000700 * sin(2?? * 4.820700 * t + -1.190085) + 0.000300 * sin(2?? * 3.523400 * t + 0.750900) + 0.000300 * sin(2?? * 4.182000 * t + -2.490685) + 0.000300 * sin(2?? * 6.882100 * t + -0.542300)
3,6963490,295.8869,42.454819,14.702,0.559006483,0.039282636,0.280513377,0.000138307,0.000987636,0.005342838,0.038152672,0.999918874,f(t) = 1.001200 + 0.006700 * sin(2?? * 7.140900 * t + -3.008000) + 0.002600 * sin(2?? * 7.570800 * t + -2.034400) + 0.001800 * sin(2?? * 11.376600 * t + 0.188600) + 0.000800 * sin(2?? * 6.710400 * t + -2.178600)
4,7300184,296.78571,42.80331,15.43,0.622831781,-0.00729309,-0.085018467,-0.000205072,-0.002390606,0.000404842,0.004719405,0.999925686,f(t) = 1.001100 + 0.002400 * sin(2?? * 11.657400 * t + 2.443000) + 0.000400 * sin(2?? * 20.763500 * t + 2.785400)
5,7900367,294.93735,43.695919,11.282,0.597099203,-0.00598391,-0.079283217,-8.55E-05,-0.001132824,0.022715631,0.300968481,0.99941347,f(t) = 1.000000 + 0.001300 * sin(2?? * 13.249400 * t + 2.775285) + 0.000300 * sin(2?? * 7.788900 * t + -2.824600)
6,7915515,298.96823,43.679829,12.82,0.602890917,-0.000310995,-0.003793486,-3.20E-06,-3.90E-05,0.005501696,0.067109138,0.99343938,f(t) = 1.000000 + 0.000100 * sin(2?? * 12.197900 * t + 2.737800)
7,9851822,299.00192,46.636791,13.902,0.705668587,0.007387054,0.108229944,7.68E-05,0.001124917,0.023441881,0.343454031,0.998134294,f(t) = 1.000000 + 0.000500 * sin(2?? * 14.651300 * t + 1.812300)
8,10350769,295.97668,47.410461,13.008,0.583878707,0.006854232,0.021466084,0.000591711,0.001853121,0.053335465,0.167036009,0.999381434,f(t) = 0.999900 + 0.000500 * sin(2?? * 3.131800 * t + 2.295400) + 0.000100 * sin(2?? * 1.009300 * t + 1.581300) + 0.000100 * sin(2?? * 1.566200 * t + -2.671000)
9,10355055,297.31918,47.407581,9.383,0.303482609,0.000852866,0.018834949,-2.98E-06,-6.58E-05,0.000255047,0.005632534,0.999996991,f(t) = 1.000000 + 0.003000 * sin(2?? * 22.084300 * t + -0.198100) + 0.000700 * sin(2?? * 18.681700 * t + -1.206200) + 0.000300 * sin(2?? * 19.576000 * t + -1.692800)
10,10415087,295.79916,47.587009,12.139,0.621244338,-0.001378947,-0.009972958,-0.000293411,-0.002122036,0.017697134,0.127990979,0.999734737,f(t) = 1.001600 + 0.009800 * sin(2?? * 7.232300 * t + -0.674400)
11,11027806,290.94797,48.52446,11.557,0.633320591,-1,-1,-1,-1,-1,-1,-1,f(t) = 1.000100
12,11769929,295.19943,49.980381,12.381,0.619628921,0.009145548,0.092522765,-0.000186642,-0.001888201,0.025455727,0.257527953,0.999419353,f(t) = 1.000500 + 0.003000 * sin(2?? * 10.116700 * t + 0.947300) + 0.000900 * sin(2?? * 16.216600 * t + -1.377400) + 0.000500 * sin(2?? * 17.843700 * t + 2.907900) + 0.000400 * sin(2?? * 13.599200 * t + 2.805100) + 0.000300 * sin(2?? * 10.467300 * t + -1.941000) + 0.000300 * sin(2?? * 15.248100 * t + -0.745200)
13,12216817,295.79639,50.895988,10.662,0.518421054,-0.032251388,-0.261884496,0.000219446,0.001781923,0.03421912,0.277862679,0.999997052,f(t) = 1.000500 + 0.011700 * sin(2?? * 8.120100 * t + -0.137000) + 0.004500 * sin(2?? * 3.617500 * t + -2.426800) + 0.002800 * sin(2?? * 5.698300 * t + 2.820000) + 0.001800 * sin(2?? * 6.628800 * t + 1.676300)
14,1849235,286.14963,37.39505,11.646,0.594862522,0.026947471,0.168796264,0.000153187,0.000959548,0.050836786,0.318436543,0.999641809,f(t) = 1.000800 + 0.003200 * sin(2?? * 6.263900 * t + -0.884300) + 0.001100 * sin(2?? * 6.655600 * t + 0.545700)
15,3424493,285.1564,38.505619,9.553,0.297868632,-0.00817129,-0.022139293,-1.57E-05,-4.25E-05,0.01603487,0.043444875,0.99999529,f(t) = 1.000300 + 0.007600 * sin(2?? * 2.709400 * t + -0.970900)
16,3648131,292.09274,38.73053,13.476,0.658856887,0.013552197,0.208875941,4.29E-05,0.000661049,0.017729003,0.273251805,0.999559021,f(t) = 1.000000 + 0.000300 * sin(2?? * 15.412700 * t + -0.214000) + 0.000100 * sin(2?? * 20.233500 * t + -1.675785)
17,3965879,294.4754,39.00388,13.335,0.320628621,8.06E-05,5.27E-04,7.12E-06,4.66E-05,0.001839677,1.20E-02,0.999709752,f(t) = 1.000100 + 0.010700 * sin(2?? * 6.537400 * t + -1.450000)
18,4072890,295.45047,39.110661,14.269,0.615391855,-0.0305048,-0.20432115,4.46E-05,0.000298538,0.038031567,0.254735436,0.999294098,f(t) = 1.000000 + 0.000100 * sin(2?? * 6.698000 * t + -2.866385)
19,8264404,300.94638,44.157139,12.193,0.447616056,0.005153912,0.048427703,6.28E-06,5.90E-05,0.009410603,0.088424849,0.999977838,f(t) = 0.999600 + 0.004600 * sin(2?? * 9.396300 * t + 2.144985) + 0.001800 * sin(2?? * 10.741700 * t + -1.912600) + 0.000900 * sin(2?? * 3.175100 * t + -2.505185) + 0.000800 * sin(2?? * 1.340300 * t + -0.284500) + 0.000700 * sin(2?? * 12.604900 * t + 0.362785) + 0.000700 * sin(2?? * 1.868800 * t + 2.705385) + 0.000500 * sin(2?? * 7.946100 * t + -2.687985)
20,8330102,300.89816,44.289471,13.479,0.595887535,0.009718158,0.168401101,-0.000176316,-0.003055292,0.015067497,0.261097121,0.999817783,f(t) = 1.000100 + 0.002000 * sin(2?? * 17.328500 * t + -1.386100) + 0.000500 * sin(2?? * 19.036900 * t + -0.092800) + 0.000300 * sin(2?? * 21.188200 * t + 0.245800) + 0.000300 * sin(2?? * 15.959800 * t + -0.675500) + 0.000300 * sin(2?? * 22.932600 * t + -0.441900)
21,8453431,298.85471,44.452911,12.534,0.593181526,-0.000349358,-0.004844757,1.43E-05,0.000197812,0.024407965,0.33847989,0.997656175,f(t) = 1.000000 + 0.000100 * sin(2?? * 13.867600 * t + -1.573500) + 0.000100 * sin(2?? * 22.150600 * t + -3.140600)
22,8493159,291.02487,44.546383,12.002,0.56569277,-0.007322554,-0.053561553,-0.00016713,-0.001222489,0.050322498,0.368088944,0.998370047,f(t) = 1.000900 + 0.000600 * sin(2?? * 7.314600 * t + -2.960485) + 0.000200 * sin(2?? * 8.221500 * t + 0.995800) + 0.000200 * sin(2?? * 13.331700 * t + -1.184300) + 0.000100 * sin(2?? * 5.583700 * t + 1.422100) + 0.000100 * sin(2?? * 11.600800 * t + -2.253700) + 0.000100 * sin(2?? * 14.856100 * t + -1.654100)
23,8585472,299.66873,44.61068,13.249,0.637876087,-0.00080634,-0.010102069,3.95E-05,0.000495473,0.039990214,0.501009398,0.99908245,f(t) = 0.999900 + 0.000100 * sin(2?? * 12.528300 * t + -1.939500)
24,8845312,300.23813,45.093578,11.501,0.693539008,0.003124566,0.019506978,-1.07E-05,-6.68E-05,0.073199586,0.456992335,0.998782313,f(t) = 0.999600 + 0.000200 * sin(2?? * 6.243100 * t + 0.850600) + 0.000100 * sin(2?? * 7.603400 * t + 0.515400)
25,9050337,299.98993,45.31699,12.598,0.646273738,0.001217951,0.021381495,0.000103206,0.001811812,0.011620421,0.203999982,0.999370662,f(t) = 1.000000 + 0.000100 * sin(2?? * 17.555300 * t + 1.437100)
26,4544967,286.05136,39.6105,12.975,0.245193314,0.001762182,0.028430516,5.84E-06,9.42E-05,0.000841413,0.013575105,0.999700109,f(t) = 1.000200 + 0.002800 * sin(2?? * 16.133700 * t + 1.537900) + 0.000800 * sin(2?? * 20.893900 * t + -1.068100)
27,4569150,293.74969,39.678051,12.016,0.601894438,-0.00143279,-0.013904797,6.14E-05,0.000596057,0.019823693,0.192382993,0.998962657,f(t) = 1.000100 + 0.000300 * sin(2?? * 9.704700 * t + 1.027300) + 0.000300 * sin(2?? * 10.879800 * t + -0.688700) + 0.000300 * sin(2?? * 13.599900 * t + -2.403400) + 0.000100 * sin(2?? * 12.157200 * t + 0.493100)
28,4577647,295.71765,39.691494,11.9,0.535218686,0.004874777,0.044997604,-7.15E-05,-0.000659995,0.02492599,0.230084336,0.999678737,f(t) = 1.000800 + 0.001500 * sin(2?? * 9.230700 * t + 0.824100) + 0.000900 * sin(2?? * 7.356900 * t + -0.000015) + 0.000400 * sin(2?? * 7.664700 * t + 0.526800)
29,4940217,295.987,40.076389,13.496,0.688700428,0.061463921,0.324627845,0.000162326,0.000857341,0.000833918,0.004404421,0.998460538,f(t) = 0.999600 + 0.002100 * sin(2?? * 5.281600 * t + 2.783700)
30,5108514,294.36151,40.262749,13.983,0.514464948,-0.005098625,-0.035704141,-9.00E-05,-0.000630243,0.002870662,0.020102385,0.999717345,f(t) = 0.999900 + 0.001700 * sin(2?? * 7.002700 * t + -2.448085) + 0.001100 * sin(2?? * 5.813700 * t + 1.667200) + 0.000700 * sin(2?? * 10.152300 * t + -1.209900) + 0.000200 * sin(2?? * 4.798400 * t + -2.927400) + 0.000200 * sin(2?? * 7.510100 * t + 1.948700) + 0.000200 * sin(2?? * 9.117600 * t + -1.999685) + 0.000200 * sin(2?? * 13.491900 * t + 2.757400) + 0.000200 * sin(2?? * 14.005500 * t + 3.119000) + 0.000200 * sin(2?? * 4.105400 * t + 2.948585) + 0.000200 * sin(2?? * 12.619900 * t + -1.419800)
31,5358323,290.4848,40.597038,13.113,0.627253817,0.017858095,0.230346206,1.47E-05,0.000189494,0.019455678,0.250952954,0.998917482,f(t) = 1.000100 + 0.000100 * sin(2?? * 12.898700 * t + -1.567600)
32,5900260,298.00854,41.197849,13.413,0.599783673,-0.006475595,-0.086864279,-0.000141253,-0.001894782,0.014950126,0.200542481,0.998423482,f(t) = 1.000000 + 0.000100 * sin(2?? * 13.414100 * t + -2.363000) + 0.000100 * sin(2?? * 17.328200 * t + -0.229285)
33,9051991,300.42987,45.365898,13.471,0.641850685,0.022974867,0.238591698,1.86E-06,1.93E-05,0.02411227,0.250403513,0.999367789,f(t) = 1.000100 + 0.000800 * sin(2?? * 10.384900 * t + 1.226300) + 0.000100 * sin(2?? * 9.704500 * t + 0.975400) + 0.000100 * sin(2?? * 12.507100 * t + 0.991600) + 0.000100 * sin(2?? * 13.063800 * t + -1.762200)
34,9306095,300.17462,45.799809,12.428,0.517353662,0.036336621,0.369699683,8.58E-05,0.000873227,0.000331465,0.003372424,0.999999495,f(t) = 1.004600 + 0.030200 * sin(2?? * 10.174300 * t + -2.611285) + 0.003700 * sin(2?? * 20.343100 * t + 1.637200)
35,9368220,300.32764,45.868259,11.271,0.551725931,0.011574519,0.062480414,7.48E-05,0.000403848,0.041044865,0.221564286,0.999535528,f(t) = 1.000300 + 0.003000 * sin(2?? * 5.398100 * t + 0.908500) + 0.001200 * sin(2?? * 7.067200 * t + 2.839200) + 0.001100 * sin(2?? * 6.511000 * t + 1.346300) + 0.001100 * sin(2?? * 13.537500 * t + 2.526300) + 0.001000 * sin(2?? * 14.814700 * t + -2.608285) + 0.000900 * sin(2?? * 8.963600 * t + 2.256385) + 0.000500 * sin(2?? * 4.368300 * t + -0.299300) + 0.000500 * sin(2?? * 4.739700 * t + 2.308185) + 0.000500 * sin(2?? * 9.334700 * t + 1.817885) + 0.000300 * sin(2?? * 5.831000 * t + -3.002585)
36,9368524,300.42334,45.886761,13.868,0.596350996,-0.008173456,-0.085913648,-5.30E-06,-5.57E-05,0.033541863,0.352568585,0.998230112,f(t) = 1.000000 + 0.000800 * sin(2?? * 10.511300 * t + -2.507100) + 0.000200 * sin(2?? * 5.551000 * t + -1.989800) + 0.000200 * sin(2?? * 10.833000 * t + -0.377100) + 0.000100 * sin(2?? * 6.016800 * t + 0.859500) + 0.000100 * sin(2?? * 12.285000 * t + -1.834200)
37,9649801,292.08319,46.31078,13.525,0.596972447,-0.002845755,-0.040989401,-2.69E-05,-0.00038746,0.01691295,0.243609052,0.997773679,f(t) = 1.000100 + 0.000200 * sin(2?? * 14.403700 * t + 2.826385) + 0.000100 * sin(2?? * 12.343400 * t + -2.720300) + 0.000100 * sin(2?? * 17.040500 * t + 0.631600) + 0.000100 * sin(2?? * 18.854200 * t + -2.807300) + 0.000100 * sin(2?? * 19.306200 * t + 1.563400) + 0.000100 * sin(2?? * 21.203000 * t + 2.596685)
38,9775887,294.04736,46.569839,16.218,0.572067491,0.013333728,0.019081898,0.002340284,0.00334918,0.191209631,0.273640104,0.999672803,f(t) = 1.000100 + 0.001800 * sin(2?? * 1.431100 * t + 2.479300)
39,9532219,294.21674,46.180222,16.118,0.230848236,-0.000598581,-0.006041538,1.85E-06,1.86E-05,0.000146532,0.001478962,0.999961223,f(t) = 0.992500 + 0.037300 * sin(2?? * 10.093100 * t + -2.814600) + 0.008000 * sin(2?? * 20.186200 * t + 2.205385)
40,9594189,294.26056,46.280201,15.759,0.553069805,-0.072944438,-0.15953678,0.000828794,0.001812655,0.092916515,0.20321771,0.999801132,f(t) = 1.000100 + 0.004500 * sin(2?? * 2.187100 * t + 2.069300) + 0.001000 * sin(2?? * 4.373500 * t + 0.646000)
41,9897710,294.57605,46.734871,15.276,0.716439378,0.001563376,0.007352245,-0.000584874,-0.002750545,0.05562188,0.261578577,0.998528582,f(t) = 0.999600 + 0.000700 * sin(2?? * 4.702800 * t + -3.074300)
42,9717148,294.62122,46.435741,16.412,0.53049719,0.185972511,0.187850833,-0.000811615,-0.000819812,0.225885108,0.228166547,0.999944788,f(t) = 0.999700 + 0.006700 * sin(2?? * 1.010100 * t + -1.742100) + 0.001300 * sin(2?? * 2.029400 * t + 1.472800)
